x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity
0.2303484231233596,0.0,0.0578986890614032,0.7225273847579956,0.0,5.869136014864662e-14,0.0,155759.015625,0.0,62303.60546875,300.392578125,2.3379025198592913e-16,-0.3729181587696075,0.0,8.123062904827685e-14,0.0,1.8477732737665065e-05,0.0056363497860729,-8.268132005864211e-25,0.0004235550877638,-0.1831036210060119,0.1452051401138305,0.0
0.2345027178525924,0.0,0.0582065619528293,0.7225288152694702,0.0,5.887372295405868e-14,0.0,155759.5,0.0,62303.80078125,300.3929443359375,2.345160798123872e-16,-0.3723434507846832,0.0,8.148287545996918e-14,0.0,1.8477749108569697e-05,0.0056211659684777,-8.1806581783126465e-25,0.0004110995214432,-0.1823752671480178,0.1450761258602142,0.0
0.2387052178382873,0.0,0.0585098564624786,0.7225294709205627,0.0,6.054028399470404e-14,0.0,155759.8125,0.0,62303.92578125,300.39324951171875,2.411542505502396e-16,-0.371976763010025,0.0,8.37893597278698e-14,0.0,1.8477763660484925e-05,0.0056095938198268,0.0,0.0003998001338914,-0.1819118857383728,0.1449944376945495,0.0
0.2429556399583816,0.0,0.058809008449316,0.7225291132926941,0.0,6.441429421105704e-14,0.0,155759.875,0.0,62303.953125,300.3935546875,2.5658589383001243e-16,-0.3718973100185394,0.0,8.91511460466253e-14,0.0,1.8477778212400157e-05,0.0055998838506639,1.1610533689133374e-24,0.0003895439731422,-0.1815964728593826,0.1449376940727234,0.0
0.2472537010908126,0.0,0.0591045133769512,0.7225278615951538,0.0,6.375139267400867e-14,0.0,155759.671875,0.0,62303.87109375,300.3936767578125,2.5394569213342083e-16,-0.3721356093883514,0.0,8.823382291727606e-14,0.0,1.8477783669368364e-05,0.0055932314135134,1.1875927205248484e-24,0.0003802378778345,-0.1815034300088882,0.1449212282896042,0.0
0.2515990734100342,0.0,0.059396605938673,0.7225244045257568,0.0,6.309273307796015e-14,0.0,155758.953125,0.0,62303.578125,300.3937072753906,2.513231987193826e-16,-0.3729964792728424,0.0,8.732263230646493e-14,0.0,1.8477785488357767e-05,0.0055915168486535,0.0,0.0003698104119393,-0.1816724091768264,0.1449675261974334,0.0
0.2559916377067566,0.0,0.0596824213862419,0.7225208282470703,0.0,6.299195648602762e-14,0.0,155758.015625,0.0,62303.2109375,300.3934020996094,2.509231344704826e-16,-0.3740901350975036,0.0,8.718359015410723e-14,0.0,1.847777093644254e-05,0.0055816136300563,0.0,0.0003567480307538,-0.1812426149845123,0.1449062675237655,0.0
0.2604311108589172,0.0,0.0599611029028892,0.7225188612937927,0.0,6.321536311993185e-14,0.0,155757.546875,0.0,62303.01953125,300.393310546875,2.518137896145205e-16,-0.3746517598628998,0.0,8.749302823039817e-14,0.0,1.847776729846373e-05,0.0055637946352362,0.0,0.000343004183378,-0.1802840232849121,0.1447422802448272,0.0
0.2649170458316803,0.0,0.0602326653897762,0.7225178480148315,0.0,6.367072803237575e-14,0.0,155757.328125,0.0,62302.93359375,300.393310546875,2.536280283084208e-16,-0.3749050796031952,0.0,8.812339014974482e-14,0.0,1.847776729846373e-05,0.0055476292036473,-5.3662208843472085e-25,0.0003297608345746,-0.1794459521770477,0.1446000188589096,0.0
0.2694490253925323,0.0,0.0604971460998058,0.722517192363739,0.0,6.395297296292804e-14,0.0,155757.234375,0.0,62302.890625,300.3934020996094,2.547525439552397e-16,-0.3750265538692474,0.0,8.851411628391788e-14,0.0,1.847777093644254e-05,0.0055326255969703,-5.290793948894501e-25,0.000316991150612,-0.1786942332983017,0.1444731205701828,0.0
